"ticker","year","month","day","open","high","low","close","volume","ex.dividend","split_ratio","adj_open","adj_high","adj_low","adj_close","adj_volume","date","change","delta"
"GOOGL",2015,9,8,641,645.04,632.9,643.88,1954648,0,1,641,645.04,632.9,643.88,1954648,"2015-9-8",1,-0.470000000000027
"GOOGL",2015,9,9,651.88,657.36,640.9,643.41,2048908,0,1,651.88,657.36,640.9,643.41,2048908,"2015-9-9",0,7.67000000000007
"GOOGL",2015,9,10,643.9,654.9,641.7,651.08,1392481,0,1,643.9,654.9,641.7,651.08,1392481,"2015-9-10",1,4.21999999999991
"GOOGL",2015,9,11,650.21,655.31,647.41,655.3,1744615,0,1,650.21,655.31,647.41,655.3,1744615,"2015-9-11",1,-2.82999999999993
"GOOGL",2015,9,14,655.63,655.92,649.501,652.47,1497627,0,1,655.63,655.92,649.501,652.47,1497627,"2015-9-14",0,12.6
"GOOGL",2015,9,15,656.71,668.85,653.34,665.07,1777320,0,1,656.71,668.85,653.34,665.07,1777320,"2015-9-15",1,0.449999999999932
"GOOGL",2015,9,16,665.55,668.0699,662.2,665.52,1312598,0,1,665.55,668.0699,662.2,665.52,1312598,"2015-9-16",1,6.14999999999998
"GOOGL",2015,9,17,667.49,681.99,665,671.67,2387605,0,1,667.49,681.99,665,671.67,2387605,"2015-9-17",1,-10.75
"GOOGL",2015,9,18,665.06,669.84,660.03,660.92,3627210,0,1,665.06,669.84,660.03,660.92,3627210,"2015-9-18",0,6.06000000000006
"GOOGL",2015,9,21,665.51,669,658,666.98,1954667,0,1,665.51,669,658,666.98,1954667,"2015-9-21",1,-13.78
"GOOGL",2015,9,22,657.47,658.82,645.03,653.2,2718081,0,1,657.47,658.82,645.03,653.2,2718081,"2015-9-22",0,0.0899999999999181
"GOOGL",2015,9,23,652.9,660.28,650.7301,653.29,1457995,0,1,652.9,660.28,650.7301,653.29,1457995,"2015-9-23",1,1.62
"GOOGL",2015,9,24,648.97,656.7699,642.165,654.91,1934639,0,1,648.97,656.7699,642.165,654.91,1934639,"2015-9-24",1,-14.76
"GOOGL",2015,9,25,658.58,658.58,639.655,640.15,2423992,0,1,658.58,658.58,639.655,640.15,2423992,"2015-9-25",0,-15.9
"GOOGL",2015,9,28,639.05,642.85,617.84,624.25,2361393,0,1,639.05,642.85,617.84,624.25,2361393,"2015-9-28",0,-1.63999999999999
"GOOGL",2015,9,29,625.5,634.68,618.03,622.61,2106466,0,1,625.5,634.68,618.03,622.61,2106466,"2015-9-29",0,14.59
"GOOGL",2015,9,30,631.83,639.31,629.15,637.2,2549938,0,1,631.83,639.31,629.15,637.2,2549938,"2015-9-30",1,4.79999999999995
"GOOGL",2015,10,1,637.94,643.84,631.115,642,2125315,0,1,637.94,643.84,631.115,642,2125315,"2015-10-1",1,14.99
"GOOGL",2015,10,2,638.01,658.2555,633.5,656.99,2439435,0,1,638.01,658.2555,633.5,656.99,2439435,"2015-10-2",1,14.6899999999999
"GOOGL",2015,10,5,661.6,673.0275,655.87,671.68,1898012,0,1,661.6,673.0275,655.87,671.68,1898012,"2015-10-5",1,-0.0399999999999636
"GOOGL",2015,10,6,669.35,678.8,663.0823,671.64,2157409,0,1,669.35,678.8,663.0823,671.64,2157409,"2015-10-6",0,-1.63999999999999
"GOOGL",2015,10,7,677.4,678.74,658.11,670,2217672,0,1,677.4,678.74,658.11,670,2217672,"2015-10-7",0,-3
"GOOGL",2015,10,8,669.45,671.89,654.49,667,1965397,0,1,669.45,671.89,654.49,667,1965397,"2015-10-8",0,4.24000000000001
"GOOGL",2015,10,9,667.49,674.085,662.36,671.24,1606178,0,1,667.49,674.085,662.36,671.24,1606178,"2015-10-9",1,5.18999999999994
"GOOGL",2015,10,12,669.19,677.98,667.24,676.43,1334225,0,1,669.19,677.98,667.24,676.43,1334225,"2015-10-12",1,6.74000000000001
"GOOGL",2015,10,13,674.26,688.46,673.108,683.17,2122338,0,1,674.26,688.46,673.108,683.17,2122338,"2015-10-13",1,-2.75999999999999
"GOOGL",2015,10,14,683.73,690.04,678.9,680.41,1564582,0,1,683.73,690.04,678.9,680.41,1564582,"2015-10-14",0,12.61
"GOOGL",2015,10,15,685.25,694.16,684.39,693.02,2357829,0,1,685.25,694.16,684.39,693.02,2357829,"2015-10-15",1,2.30000000000007
"GOOGL",2015,10,16,695.4,696.22,689.1,695.32,1815759,0,1,695.4,696.22,689.1,695.32,1815759,"2015-10-16",1,4.63
"GOOGL",2015,10,19,694,700.2397,692.21,699.95,1508585,0,1,694,700.2397,692.21,699.95,1508585,"2015-10-19",1,-19.95
"GOOGL",2015,10,20,697.89,698,673.68,680,2621719,0,1,697.89,698,673.68,680,2621719,"2015-10-20",0,-8.20000000000005
"GOOGL",2015,10,21,683.21,684.9,670.7,671.8,1608436,0,1,683.21,684.9,670.7,671.8,1608436,"2015-10-21",0,9.34000000000003
"GOOGL",2015,10,22,675.44,688.0499,671.7,681.14,4431595,0,1,675.44,688.0499,671.7,681.14,4431595,"2015-10-22",1,38.1900000000001
"GOOGL",2015,10,23,750.06,752.5,717.94,719.33,6336319,0,1,750.06,752.5,717.94,719.33,6336319,"2015-10-23",1,11.79
"GOOGL",2015,10,26,720.02,734.95,720.02,731.12,2438847,0,1,720.02,734.95,720.02,731.12,2438847,"2015-10-26",1,1.70000000000005
"GOOGL",2015,10,27,726.57,735.9642,724.135,732.82,1938916,0,1,726.57,735.9642,724.135,732.82,1938916,"2015-10-27",1,4.09999999999991
"GOOGL",2015,10,28,733,737.37,727.27,736.92,1980154,0,1,733,737.37,727.27,736.92,1980154,"2015-10-28",1,7.93000000000006
"GOOGL",2015,10,29,736.63,746.79,735.16,744.85,1825957,0,1,736.63,746.79,735.16,744.85,1825957,"2015-10-29",1,-7.46000000000004
"GOOGL",2015,10,30,745.56,746.31,736.53,737.39,1999161,0,1,745.56,746.31,736.53,737.39,1999161,"2015-10-30",0,10.35
"GOOGL",2015,11,2,737.88,748.18,731.45,747.74,1995708,0,1,737.88,748.18,731.45,747.74,1995708,"2015-11-2",1,1.08000000000004
"GOOGL",2015,11,3,745.43,751.698,741.16,748.82,1815300,0,1,745.43,751.698,741.16,748.82,1815300,"2015-11-3",1,6.4899999999999
"GOOGL",2015,11,4,749.9,759.9,749.2,755.31,2091999,0,1,749.9,759.9,749.2,755.31,2091999,"2015-11-4",1,5.36000000000001
"GOOGL",2015,11,5,758.81,766.35,757.47,760.67,2274314,0,1,758.81,766.35,757.47,760.67,2274314,"2015-11-5",1,0.930000000000064
"GOOGL",2015,11,6,759.39,763.022,755.03,761.6,1677199,0,1,759.39,763.022,755.03,761.6,1677199,"2015-11-6",1,-6.83000000000004
"GOOGL",2015,11,9,758.52,763.3,749.11,754.77,1776861,0,1,758.52,763.3,749.11,754.77,1776861,"2015-11-9",0,3.49000000000001
"GOOGL",2015,11,10,753.48,760.6,748.41,758.26,1489929,0,1,753.48,760.6,748.41,758.26,1489929,"2015-11-10",1,6.99000000000001
"GOOGL",2015,11,11,762.38,769.08,759.75,765.25,2095922,0,1,762.38,769.08,759.75,765.25,2095922,"2015-11-11",1,-8.72000000000003
"GOOGL",2015,11,12,760.18,765.799,755.86,756.53,1772555,0,1,760.18,765.799,755.86,756.53,1772555,"2015-11-12",0,-16.4599999999999
"GOOGL",2015,11,13,754.04,755.33,739.47,740.07,2409363,0,1,754.04,755.33,739.47,740.07,2409363,"2015-11-13",0,10.3499999999999
"GOOGL",2015,11,16,740.21,751.71,734.33,750.42,2535198,0,1,740.21,751.71,734.33,750.42,2535198,"2015-11-16",1,-4.43999999999994
"GOOGL",2015,11,17,752.47,754.95,744.05,745.98,1939934,0,1,752.47,754.95,744.05,745.98,1939934,"2015-11-17",0,14.03
"GOOGL",2015,11,18,749.57,761.1,747.39,760.01,1813336,0,1,749.57,761.1,747.39,760.01,1813336,"2015-11-18",1,-0.0699999999999363
"GOOGL",2015,11,19,759.78,763.23,757.23,759.94,1403913,0,1,759.78,763.23,757.23,759.94,1403913,"2015-11-19",0,17.0599999999999
"GOOGL",2015,11,20,769.3,779.318,764.1,777,2773944,0,1,769.3,779.318,764.1,777,2773944,"2015-11-20",1,-0.299999999999955
"GOOGL",2015,11,23,777.47,782.9,773.51,776.7,1732400,0,1,777.47,782.9,773.51,776.7,1732400,"2015-11-23",0,-7.07000000000005
"GOOGL",2015,11,24,772.96,775.99,758.11,769.63,2394010,0,1,772.96,775.99,758.11,769.63,2394010,"2015-11-24",0,-0.370000000000005
"GOOGL",2015,11,25,771.69,773,766.53,769.26,1180643,0,1,771.69,773,766.53,769.26,1180643,"2015-11-25",0,2.71000000000004
"GOOGL",2015,11,27,769.16,774,767.0001,771.97,722320,0,1,769.16,774,767.0001,771.97,722320,"2015-11-27",1,-9.12
"GOOGL",2015,11,30,771.87,775.03,761.12,762.85,1679349,0,1,771.87,775.03,761.12,762.85,1679349,"2015-11-30",0,20.9399999999999
"GOOGL",2015,12,1,766.94,785,765.95,783.79,2019864,0,1,766.94,785,765.95,783.79,2019864,"2015-12-1",1,-5.93999999999994
"GOOGL",2015,12,2,785.25,793.0475,776.43,777.85,2343841,0,1,785.25,793.0475,776.43,777.85,2343841,"2015-12-2",0,-9.64999999999998
